Dartmouth green,152,100,44,0,112,60,#00703C
Davy's grey,0,0,33,85,85,85,#555555
Debian red,339,95,84,215,10,83,#D70A53
Deep aquamarine,161,51,51,64,130,109,#40826D
Deep carmine,347,81,66,169,32,62,#A9203E
Deep carmine pink,357,80,94,239,48,56,#EF3038
Deep carrot orange,19,81,91,233,105,44,#E9692C
Deep cerise,330,77,85,218,50,135,#DA3287
Deep champagne,35,34,98,250,214,165,#FAD6A5
Deep chestnut,3,61,73,185,78,72,#B94E48
Deep coffee,1,42,44,112,66,65,#704241
Deep fuchsia,300,56,76,193,84,193,#C154C1
Deep Green,122,95,40,5,102,8,#056608
Deep green-cyan turquoise,165,89,49,14,124,97,#0E7C61
Deep jungle green,178,100,29,0,75,73,#004B49
Deep koamaru,240,50,40,51,51,102,#333366
Deep lemon,47,89,96,245,199,26,#F5C71A
Deep lilac,280,55,73,153,85,187,#9955BB
Deep magenta,300,100,80,204,0,204,#CC00CC
Deep maroon,0,100,51,130,0,0,#820000
Deep mauve,300,46,83,212,115,212,#D473D4
Deep moss green,129,44,37,53,94,59,#355E3B
Deep peach,26,36,100,255,203,164,#FFCBA4
Deep pink,328,92,100,255,20,147,#FF1493
Deep puce,351,46,66,169,92,104,#A95C68
Deep Red,0,99,52,133,1,1,#850101
Deep ruby,336,52,52,132,63,91,#843F5B
Deep saffron,30,80,100,255,153,51,#FF9933
Deep sky blue,195,100,100,0,191,255,#00BFFF
Deep Space Sparkle,194,31,42,74,100,108,#4A646C
Deep spring bud,82,56,42,85,107,47,#556B2F
Deep Taupe,356,25,49,126,94,96,#7E5E60
Deep Tuscan red,342,35,40,102,66,77,#66424D
Deep violet,270,100,40,51,0,102,#330066
Deer,28,52,73,186,135,89,#BA8759
Denim,213,89,74,21,96,189,#1560BD
Brown Sugar,20,56,69,175,110,77,#AF6E4D
Desaturated cyan,180,33,60,102,153,153,#669999
Desert,33,45,76,193,154,107,#C19A6B
Desert sand,25,26,93,237,201,175,#EDC9AF
Desire,352,74,92,234,60,83,#EA3C53
Diamond,191,27,100,185,242,255,#B9F2FF
Dim gray,0,0,41,105,105,105,#696969
Dingy Dungeon,347,75,77,197,49,81,#C53151
Dirt,29,46,61,155,118,83,#9B7653
Dodger blue,210,88,100,30,144,255,#1E90FF
Dogwood rose,335,89,84,215,24,104,#D71868
Dollar bill,98,46,73,133,187,101,#85BB65
Dolphin Gray,130,8,56,130,142,132,#828E84
Donkey brown,35,61,40,102,76,40,#664C28
Drab,43,85,59,150,113,23,#967117
Duke blue,240,100,61,0,0,156,#00009C
Dust storm,6,12,90,229,204,201,#E5CCC9
Dutch white,42,22,94,239,223,187,#EFDFBB
Earth yellow,34,58,88,225,169,95,#E1A95F
Ebony,97,14,36,85,93,80,#555D50
Ecru,45,34,76,194,178,128,#C2B280
Eerie black,0,0,11,27,27,27,#1B1B1B
Eggplant,329,34,38,97,64,81,#614051
Eggshell,46,11,94,240,234,214,#F0EAD6
Egyptian blue,226,90,65,16,52,166,#1034A6
